Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Tum Se Hi,"Pritam, Mohit Chauhan",Jab We Met,4OYdTHNgjhXzgVjbqsb0tO,7eQl3Yqv35ioqUfveKHitE,71,2007-09-21,321225,False,https://open.spotify.com/track/7eQl3Yqv35ioqUfveKHitE,0.609,0.538,6,-7.842,1,0.0273,0.328,0.0,0.125,0.608,130.015
Kabhi Jo Badal Barse Unplugged,"Arijit Singh, Samira Koppikar, Shaarib Toshi, Dj Chetas",Kabhi Jo Badal Barse Unplugged,42UAHCRmWqiroR6cJvKddK,0tfRvbKwbTTaAoM7mYEKfA,24,2015-05-20,195442,False,https://open.spotify.com/track/0tfRvbKwbTTaAoM7mYEKfA,0.476,0.541,2,-5.309,0,0.0295,0.524,0.0,0.124,0.328,149.72
Kya Karoon?,"Shankar-Ehsaan-Loy, Clinton Cerejo, Dominique Cerejo, Loy Mendonsa",Wake Up Sid (Original Motion Picture Soundtrack),1fzE65RP7Gyhi8hdOv8eRQ,4Yp8zw7b35bheMVTp39o5O,50,2009-08-21,236160,False,https://open.spotify.com/track/4Yp8zw7b35bheMVTp39o5O,0.594,0.548,9,-7.588,0,0.0267,0.611,0.00146,0.117,0.374,98.014
Love You Zindagi,"Amit Trivedi, Jasleen Royal",Dear Zindagi (Original Motion Picture Soundtrack),29njH6pDF6JE65D2VJbAxW,6k3XXCE1ZzwevQlxf8dNaw,60,2016-11-15,232505,False,https://open.spotify.com/track/6k3XXCE1ZzwevQlxf8dNaw,0.688,0.701,3,-7.505,1,0.0298,0.06,0.0301,0.271,0.385,110.019
"Samjhawan (Unplugged by Alia Bhatt) [From ""Humpty Sharma Ki Dulhania""]","Jawad Ahmad, Shaarib Toshi, Alia Bhatt","Samjhawan (Unplugged by Alia Bhatt) [From ""Humpty Sharma Ki Dulhania""]",21bDtSHJ5mVCeNBpIRsToX,3TrdGeV5bEpHezExHlsguD,51,2014-06-19,215611,False,https://open.spotify.com/track/3TrdGeV5bEpHezExHlsguD,0.643,0.256,10,-9.758,1,0.0252,0.729,1.02e-06,0.0994,0.444,94.999
Tu Hi Hai,"Amit Trivedi, Arijit Singh",Dear Zindagi (Original Motion Picture Soundtrack),29njH6pDF6JE65D2VJbAxW,5b9x5sRIzAgXQw0dhGORO1,57,2016-11-15,199644,False,https://open.spotify.com/track/5b9x5sRIzAgXQw0dhGORO1,0.707,0.501,4,-7.389,1,0.0372,0.387,1.81e-06,0.095,0.542,93.978
Manja,Amit Trivedi,Celebrate Kai Po Che (Original Motion Picture Soundtrack),5p9bW4b2ErADux0c0BOMDs,6X4uyM93rEjUIlGCQ7jZRh,44,2013-07-10,216760,False,https://open.spotify.com/track/6X4uyM93rEjUIlGCQ7jZRh,0.774,0.472,2,-7.586,1,0.0276,0.559,0.00282,0.207,0.529,106.026
"Bolna (From ""Kapoor & Sons (Since 1921)"")","Tanishk Bagchi, Arijit Singh, Asees Kaur",Award Winners 2016 Bollywood,31IhC0vc5vuC7h98RNK08G,5otvrC0X1OQKqDBRwpTcn7,16,2017-03-10,212832,False,https://open.spotify.com/track/5otvrC0X1OQKqDBRwpTcn7,0.488,0.403,5,-7.004,1,0.0272,0.598,4.26e-06,0.434,0.495,131.496
"Bulleya (From ""Ae Dil Hai Mushkil"")","Pritam, Amit Mishra, Shilpa Rao",Award Winners 2016 Bollywood,31IhC0vc5vuC7h98RNK08G,5phu2JBv3yZUbmft7kWwVX,17,2017-03-10,348966,False,https://open.spotify.com/track/5phu2JBv3yZUbmft7kWwVX,0.552,0.769,2,-4.504,0,0.0465,0.497,0.0,0.112,0.702,86.957
"Kar Gayi Chull (From ""Kapoor & Sons (Since 1921)"")","Badshah, Amaal Mallik, Fazilpuria, Sukriti Kakar, Neha Kakkar",Award Winners 2016 Bollywood,31IhC0vc5vuC7h98RNK08G,45I3yKpyyIK8Lg873ENM9h,16,2017-03-10,187711,False,https://open.spotify.com/track/45I3yKpyyIK8Lg873ENM9h,0.827,0.737,11,-5.473,0,0.0764,0.0316,0.000322,0.211,0.873,121.99
"Samjhawan (From ""Humpty Sharma Ki Dulhania"")","Jawad Ahmad, Shaarib Toshi, Arijit Singh, Shreya Ghoshal",Yours Truly Arijit,3tzrtZvTODgW7tDew5E7nb,1I0kolhBfYfVRjwRKU6k3B,38,2016-12-09,269185,False,https://open.spotify.com/track/1I0kolhBfYfVRjwRKU6k3B,0.65,0.482,4,-8.667,1,0.0281,0.293,0.0,0.0811,0.517,106.994
